Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S000471,2,Eixample,6,la Sagrada Família,076807,Sardenya,324,Dissabte,2024,1,Gener,27,12,Matí,,Motocicleta,UH 125,SUZUKI,blanc,A,,430963.209,4584121.587,2.17294194,41.40382690
2024S000471,2,Eixample,6,la Sagrada Família,076807,Sardenya,324,Dissabte,2024,1,Gener,27,12,Matí,,Turisme,GOLF,VOLKSWAGEN,negre,B,,430963.209,4584121.587,2.17294194,41.40382690
2024S000472,7,Horta-Guinardó,33,el Baix Guinardó,297001,Sant Antoni Maria Claret,,Dissabte,2024,1,Gener,27,13,Matí,,Motocicleta,SH 125,HONDA,blau,B,13,430899.204,4584756.673,2.17210373,41.40954142
2024S000472,7,Horta-Guinardó,33,el Baix Guinardó,297001,Sant Antoni Maria Claret,,Dissabte,2024,1,Gener,27,13,Matí,,Tot terreny,RANGE ROVER EVOQUE,LAND ROVER,negre,B1,27,430899.204,4584756.673,2.17210373,41.40954142
2024S000473,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,701267,Dalt (Besòs),K89,Dissabte,2024,1,Gener,27,14,Tarda,,Turisme,I 30,HYUNDAI,gris,B,36,427429.536,4585230.890,2.13053768,41.41350654
2024S000473,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,701267,Dalt (Besòs),K89,Dissabte,2024,1,Gener,27,14,Tarda,,Turisme,"TUCSON,IX35",HYUNDAI,gris,,,427429.536,4585230.890,2.13053768,41.41350654
2024S000473,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,701267,Dalt (Besòs),K89,Dissabte,2024,1,Gener,27,14,Tarda,,Turisme,"TUCSON,IX35",HYUNDAI,gris,B,49,427429.536,4585230.890,2.13053768,41.41350654
2024S000474,7,Horta-Guinardó,43,Horta,078303,Ciències,19-21,Dissabte,2024,1,Gener,27,14,Tarda,,Motocicleta,Z900,KAWASAKI,negre,A1,1,429759.361,4586668.515,2.15824509,41.42666180
2024S000474,7,Horta-Guinardó,43,Horta,078303,Ciències,19-21,Dissabte,2024,1,Gener,27,14,Tarda,,Turisme,FIAT TIPO,FIAT,negre,B,5,429759.361,4586668.515,2.15824509,41.42666180
2024S000475,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),K125,Dissabte,2024,1,Gener,27,13,Matí,,Furgoneta,CRAFTER,VOLKSWAGEN,blanc,,,430634.284,4579558.391,2.16952987,41.36269923
2024S000475,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),K125,Dissabte,2024,1,Gener,27,13,Matí,,Motocicleta,CBR600F,HONDA,gris,A,30,430634.284,4579558.391,2.16952987,41.36269923
2024S000475,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),K125,Dissabte,2024,1,Gener,27,13,Matí,,Motocicleta,CB500XA,HONDA,verd,A2,5,430634.284,4579558.391,2.16952987,41.36269923
2024S000475,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),K125,Dissabte,2024,1,Gener,27,13,Matí,,Turisme,MONDEO,FORD,gris,B,47,430634.284,4579558.391,2.16952987,41.36269923
2024S000476,8,Nou Barris,46,el Turó de la Peira,103003,Doctor Pi i Molist,109,Dissabte,2024,1,Gener,27,14,Tarda,,Ciclomotor,COMPAY 50 CUSTO,APRILIA,,AM,14,430923.196,4587579.424,2.17206815,41.43496701
2024S000476,8,Nou Barris,46,el Turó de la Peira,103003,Doctor Pi i Molist,109,Dissabte,2024,1,Gener,27,14,Tarda,,Turisme,TOYOTA AURIS,TOYOTA,,B,9,430923.196,4587579.424,2.17206815,41.43496701
2024S000477,3,Sants-Montjuïc,11,el Poble Sec,198804,Paral·lel,39,Dissabte,2024,1,Gener,27,15,Tarda,,Motocicleta,SUPER DINK 125,KYMCO,negre,B,7,430879.481,4580880.608,2.17231039,41.37462918
